Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
73,Tolima,73217,Coyaima,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.81,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73226,Cunday,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.4,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73236,Dolores,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.59,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73268,Espinal,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.44,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73270,Falan,Educación,Acceso a la educación,Cobertura bruta en educación - Total,87.4,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73275,Flandes,Educación,Acceso a la educación,Cobertura bruta en educación - Total,98.78,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73283,Fresno,Educación,Acceso a la educación,Cobertura bruta en educación - Total,94.59,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73319,Guamo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,96.64,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73347,Herveo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,80.56,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73349,Honda,Educación,Acceso a la educación,Cobertura bruta en educación - Total,102.71,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73352,Icononzo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,103.51,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73408,Lérida,Educación,Acceso a la educación,Cobertura bruta en educación - Total,93.53,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73411,Líbano,Educación,Acceso a la educación,Cobertura bruta en educación - Total,94.97,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73443,San Sebastián de Mariquita,Educación,Acceso a la educación,Cobertura bruta en educación - Total,101.08,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73449,Melgar,Educación,Acceso a la educación,Cobertura bruta en educación - Total,108.4,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73461,Murillo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,87.79,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73483,Natagaima,Educación,Acceso a la educación,Cobertura bruta en educación - Total,96.3,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
73,Tolima,73504,Ortega,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.23,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
